measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Male,0-6 days,Chronic obstructive pulmonary disease,Number,1990,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Female,0-6 days,Chronic obstructive pulmonary disease,Number,1990,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Male,7-27 days,Chronic obstructive pulmonary disease,Number,1990,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Female,7-27 days,Chronic obstructive pulmonary disease,Number,1990,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Male,28-364 days,Chronic obstructive pulmonary disease,Number,1990,598.68279748585,742.2882339905418,432.32665033672276
DALYs (Disability-Adjusted Life Years),Global,Female,28-364 days,Chronic obstructive pulmonary disease,Number,1990,680.2855001987454,842.5096250007715,500.0248038320212
DALYs (Disability-Adjusted Life Years),Global,Male,1-4 years,Chronic obstructive pulmonary disease,Number,1990,166004.17978317846,376919.9932347423,117308.24830876492
DALYs (Disability-Adjusted Life Years),Global,Female,1-4 years,Chronic obstructive pulmonary disease,Number,1990,201352.72773142715,350534.5510992674,65527.07528793341
DALYs (Disability-Adjusted Life Years),Global,Male,5-9 years,Chronic obstructive pulmonary disease,Number,1990,83566.53213358723,100074.91800971191,70359.30190660125
DALYs (Disability-Adjusted Life Years),Global,Female,5-9 years,Chronic obstructive pulmonary disease,Number,1990,82972.35790410986,102671.44180848004,61308.05447610754
DALYs (Disability-Adjusted Life Years),Global,Male,10-14 years,Chronic obstructive pulmonary disease,Number,1990,88114.87698651888,101438.3269066662,74631.83766855308
DALYs (Disability-Adjusted Life Years),Global,Female,10-14 years,Chronic obstructive pulmonary disease,Number,1990,92863.90160658481,108223.87613588596,77045.16517360263
DALYs (Disability-Adjusted Life Years),Global,Male,15-19 years,Chronic obstructive pulmonary disease,Number,1990,201363.79267595947,232738.00012466038,173924.299056896
DALYs (Disability-Adjusted Life Years),Global,Female,15-19 years,Chronic obstructive pulmonary disease,Number,1990,189828.17520214626,224028.77112653115,148659.0071054773
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Chronic obstructive pulmonary disease,Number,1990,272786.94172816584,308764.6255733414,237727.56002756726
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Chronic obstructive pulmonary disease,Number,1990,263843.708814054,308754.5513585352,208842.76211313822
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Chronic obstructive pulmonary disease,Number,1990,307027.4428913677,347925.46403357433,269494.91666535416
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Chronic obstructive pulmonary disease,Number,1990,311503.73821245885,363771.42825061525,247636.92485324654
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Chronic obstructive pulmonary disease,Number,1990,385988.43614111765,434687.2669932012,337970.9210673656
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Chronic obstructive pulmonary disease,Number,1990,363123.55222395086,423696.20527591166,289453.37209843344
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Chronic obstructive pulmonary disease,Number,1990,521374.23681174684,589951.2145086307,455189.38850552484
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Chronic obstructive pulmonary disease,Number,1990,467382.17811997863,550323.399311427,360692.90904301475
DALYs (Disability-Adjusted Life Years),Global,Male,40-44 years,Chronic obstructive pulmonary disease,Number,1990,758421.0282014344,860351.0687335039,656651.1869023333
DALYs (Disability-Adjusted Life Years),Global,Female,40-44 years,Chronic obstructive pulmonary disease,Number,1990,551525.2407874801,647019.9094628711,426997.3904083046
DALYs (Disability-Adjusted Life Years),Global,Male,45-49 years,Chronic obstructive pulmonary disease,Number,1990,1164729.0328393697,1325174.4605053496,995143.6389719769
DALYs (Disability-Adjusted Life Years),Global,Female,45-49 years,Chronic obstructive pulmonary disease,Number,1990,795359.2409777545,932017.5206061078,617771.3389385032
DALYs (Disability-Adjusted Life Years),Global,Male,50-54 years,Chronic obstructive pulmonary disease,Number,1990,2195883.612778091,2477762.2264896133,1852876.189187663
DALYs (Disability-Adjusted Life Years),Global,Female,50-54 years,Chronic obstructive pulmonary disease,Number,1990,1356519.0908996153,1598402.3585165862,1017291.1995218598
DALYs (Disability-Adjusted Life Years),Global,Male,55-59 years,Chronic obstructive pulmonary disease,Number,1990,3234203.8337607295,3643377.9111696808,2692461.8968804325
DALYs (Disability-Adjusted Life Years),Global,Female,55-59 years,Chronic obstructive pulmonary disease,Number,1990,1916540.3142012383,2239079.5419810833,1448470.1579516605
DALYs (Disability-Adjusted Life Years),Global,Male,60-64 years,Chronic obstructive pulmonary disease,Number,1990,4890910.474206466,5432854.456441897,4095144.756406667
DALYs (Disability-Adjusted Life Years),Global,Female,60-64 years,Chronic obstructive pulmonary disease,Number,1990,2868786.220403205,3286927.9531775895,2171112.765857872
DALYs (Disability-Adjusted Life Years),Global,Male,65-69 years,Chronic obstructive pulmonary disease,Number,1990,5340222.648313379,5887043.410308975,4572234.097075862
DALYs (Disability-Adjusted Life Years),Global,Female,65-69 years,Chronic obstructive pulmonary disease,Number,1990,3490820.113352851,3931370.4791948604,2728089.4603184727
DALYs (Disability-Adjusted Life Years),Global,Male,70-74 years,Chronic obstructive pulmonary disease,Number,1990,5515626.525627915,6068938.667460573,4812599.718833777
DALYs (Disability-Adjusted Life Years),Global,Female,70-74 years,Chronic obstructive pulmonary disease,Number,1990,4122380.2720749485,4640334.280663703,3113963.5670313416
DALYs (Disability-Adjusted Life Years),Global,Male,75-79 years,Chronic obstructive pulmonary disease,Number,1990,4468184.636106189,4867712.299791393,3987257.088351992
DALYs (Disability-Adjusted Life Years),Global,Female,75-79 years,Chronic obstructive pulmonary disease,Number,1990,3769052.8480740692,4185994.2826703023,2918719.7173376223
DALYs (Disability-Adjusted Life Years),Global,Male,80-84,Chronic obstructive pulmonary disease,Number,1990,2813479.604839336,3034509.590015451,2478705.0628376016
DALYs (Disability-Adjusted Life Years),Global,Female,80-84,Chronic obstructive pulmonary disease,Number,1990,2812514.2860003286,3115821.2718045115,2277513.942501752
DALYs (Disability-Adjusted Life Years),Global,Male,85-89,Chronic obstructive pulmonary disease,Number,1990,1107447.5476610786,1193305.3441261346,986019.1407139306
DALYs (Disability-Adjusted Life Years),Global,Female,85-89,Chronic obstructive pulmonary disease,Number,1990,1323585.8568471007,1475564.665714091,1063738.3170604068
DALYs (Disability-Adjusted Life Years),Global,Male,90-94,Chronic obstructive pulmonary disease,Number,1990,233569.64303773947,252418.08275629798,204881.1356453149
DALYs (Disability-Adjusted Life Years),Global,Female,90-94,Chronic obstructive pulmonary disease,Number,1990,382572.8382642281,428895.70762820734,311519.659758268
DALYs (Disability-Adjusted Life Years),Global,Male,95+ years,Chronic obstructive pulmonary disease,Number,1990,41319.482576313036,45176.22313744951,35299.53904611835
DALYs (Disability-Adjusted Life Years),Global,Female,95+ years,Chronic obstructive pulmonary disease,Number,1990,87909.09002708738,98426.66527401083,70775.76976680417
DALYs (Disability-Adjusted Life Years),Global,Male,0-6 days,Chronic obstructive pulmonary disease,Number,1992,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Female,0-6 days,Chronic obstructive pulmonary disease,Number,1992,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Male,7-27 days,Chronic obstructive pulmonary disease,Number,1992,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Female,7-27 days,Chronic obstructive pulmonary disease,Number,1992,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Male,28-364 days,Chronic obstructive pulmonary disease,Number,1992,609.0933610454493,753.1694465747306,441.955619663618
DALYs (Disability-Adjusted Life Years),Global,Female,28-364 days,Chronic obstructive pulmonary disease,Number,1992,680.6317791114955,843.7605753852484,501.7549553357031
DALYs (Disability-Adjusted Life Years),Global,Male,1-4 years,Chronic obstructive pulmonary disease,Number,1992,153339.06233667265,329251.1363033116,108900.82242516002
DALYs (Disability-Adjusted Life Years),Global,Female,1-4 years,Chronic obstructive pulmonary disease,Number,1992,189968.35423255587,332027.05952508224,65777.35862688863
DALYs (Disability-Adjusted Life Years),Global,Male,5-9 years,Chronic obstructive pulmonary disease,Number,1992,85346.34696620656,101094.43254211024,72147.57561454934
DALYs (Disability-Adjusted Life Years),Global,Female,5-9 years,Chronic obstructive pulmonary disease,Number,1992,84086.40819107393,103825.74853152067,61905.50112957239
DALYs (Disability-Adjusted Life Years),Global,Male,10-14 years,Chronic obstructive pulmonary disease,Number,1992,90452.68843878625,103983.8731869031,76757.11469409124
DALYs (Disability-Adjusted Life Years),Global,Female,10-14 years,Chronic obstructive pulmonary disease,Number,1992,94560.90300653734,110248.64081781724,78555.93202335267
DALYs (Disability-Adjusted Life Years),Global,Male,15-19 years,Chronic obstructive pulmonary disease,Number,1992,197698.0363810024,226467.7351636351,172518.83567742124
DALYs (Disability-Adjusted Life Years),Global,Female,15-19 years,Chronic obstructive pulmonary disease,Number,1992,185922.10214465822,218113.73157684505,146058.04681154175
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Chronic obstructive pulmonary disease,Number,1992,276226.7493641753,310909.81100587844,241582.1725199829
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Chronic obstructive pulmonary disease,Number,1992,264929.315986428,308944.6655006947,210040.27759218903
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Chronic obstructive pulmonary disease,Number,1992,326918.049790459,367277.0182681793,286604.844644849
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Chronic obstructive pulmonary disease,Number,1992,328524.62525293085,382285.77886955114,264088.07132072304
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Chronic obstructive pulmonary disease,Number,1992,397885.4755941124,445185.0793201333,349370.49268754444
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Chronic obstructive pulmonary disease,Number,1992,369665.18793525995,430203.8435643987,297361.9604106281
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Chronic obstructive pulmonary disease,Number,1992,532596.6782684226,597454.4310152631,470109.1694140376
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Chronic obstructive pulmonary disease,Number,1992,475835.65899054246,557490.4736220702,370645.19682713994
DALYs (Disability-Adjusted Life Years),Global,Male,40-44 years,Chronic obstructive pulmonary disease,Number,1992,800202.3018854498,897870.2494913078,688982.9967856614
DALYs (Disability-Adjusted Life Years),Global,Female,40-44 years,Chronic obstructive pulmonary disease,Number,1992,591162.135502418,693947.4565865942,460846.0686323423
DALYs (Disability-Adjusted Life Years),Global,Male,45-49 years,Chronic obstructive pulmonary disease,Number,1992,1205333.856336258,1357572.66117887,1045018.1387277645
DALYs (Disability-Adjusted Life Years),Global,Female,45-49 years,Chronic obstructive pulmonary disease,Number,1992,817122.7229389395,949899.2592856848,641719.7717276218
DALYs (Disability-Adjusted Life Years),Global,Male,50-54 years,Chronic obstructive pulmonary disease,Number,1992,2152343.749427192,2398846.180914168,1820994.0437801718
DALYs (Disability-Adjusted Life Years),Global,Female,50-54 years,Chronic obstructive pulmonary disease,Number,1992,1344467.409178639,1554987.2931657182,1011923.2756501165
DALYs (Disability-Adjusted Life Years),Global,Male,55-59 years,Chronic obstructive pulmonary disease,Number,1992,3235220.6978053134,3614129.2815367584,2712882.779194831
DALYs (Disability-Adjusted Life Years),Global,Female,55-59 years,Chronic obstructive pulmonary disease,Number,1992,1944458.0318968245,2243003.9274154967,1471765.463832739
DALYs (Disability-Adjusted Life Years),Global,Male,60-64 years,Chronic obstructive pulmonary disease,Number,1992,4992382.440204392,5524664.572460047,4202335.578169222
DALYs (Disability-Adjusted Life Years),Global,Female,60-64 years,Chronic obstructive pulmonary disease,Number,1992,2919513.037509894,3308749.072558417,2204085.976559298
DALYs (Disability-Adjusted Life Years),Global,Male,65-69 years,Chronic obstructive pulmonary disease,Number,1992,5570602.221065876,6114889.077636116,4796006.554887862
DALYs (Disability-Adjusted Life Years),Global,Female,65-69 years,Chronic obstructive pulmonary disease,Number,1992,3617884.0607197667,4043399.640873832,2800201.681199911
DALYs (Disability-Adjusted Life Years),Global,Male,70-74 years,Chronic obstructive pulmonary disease,Number,1992,5805595.053019827,6348094.869062366,5082079.89987121
DALYs (Disability-Adjusted Life Years),Global,Female,70-74 years,Chronic obstructive pulmonary disease,Number,1992,4318083.456412503,4800273.699102355,3313326.8865059465
DALYs (Disability-Adjusted Life Years),Global,Male,75-79 years,Chronic obstructive pulmonary disease,Number,1992,4555506.6277992455,4944456.241078134,4051735.23883727
DALYs (Disability-Adjusted Life Years),Global,Female,75-79 years,Chronic obstructive pulmonary disease,Number,1992,3893843.6802180894,4309121.919988702,2996956.840594788
DALYs (Disability-Adjusted Life Years),Global,Male,80-84,Chronic obstructive pulmonary disease,Number,1992,2963675.8102912996,3205188.307219997,2629193.1034860355
DALYs (Disability-Adjusted Life Years),Global,Female,80-84,Chronic obstructive pulmonary disease,Number,1992,2950524.8445282527,3261463.79762143,2392866.749931379
DALYs (Disability-Adjusted Life Years),Global,Male,85-89,Chronic obstructive pulmonary disease,Number,1992,1226381.6708859878,1315424.5882136703,1090827.858513612
DALYs (Disability-Adjusted Life Years),Global,Female,85-89,Chronic obstructive pulmonary disease,Number,1992,1454294.4202933407,1609056.1619432936,1175751.2267868905
DALYs (Disability-Adjusted Life Years),Global,Male,90-94,Chronic obstructive pulmonary disease,Number,1992,263189.44157265814,282806.2530548027,230108.28527078172
DALYs (Disability-Adjusted Life Years),Global,Female,90-94,Chronic obstructive pulmonary disease,Number,1992,430033.3852766212,478028.5466919417,349033.00970273826
DALYs (Disability-Adjusted Life Years),Global,Male,95+ years,Chronic obstructive pulmonary disease,Number,1992,45472.309593452366,49546.602753034866,39202.28538640337
DALYs (Disability-Adjusted Life Years),Global,Female,95+ years,Chronic obstructive pulmonary disease,Number,1992,96304.56103095817,108223.90063969014,77481.93039111959
DALYs (Disability-Adjusted Life Years),Global,Male,0-6 days,Chronic obstructive pulmonary disease,Number,1994,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Female,0-6 days,Chronic obstructive pulmonary disease,Number,1994,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Male,7-27 days,Chronic obstructive pulmonary disease,Number,1994,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Female,7-27 days,Chronic obstructive pulmonary disease,Number,1994,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Male,28-364 days,Chronic obstructive pulmonary disease,Number,1994,615.9098843223844,759.6586092751526,448.8845384423984
DALYs (Disability-Adjusted Life Years),Global,Female,28-364 days,Chronic obstructive pulmonary disease,Number,1994,678.5238748250578,840.5535941608163,502.14429078706314
DALYs (Disability-Adjusted Life Years),Global,Male,1-4 years,Chronic obstructive pulmonary disease,Number,1994,137163.9257264969,292732.7168298123,96956.24580866608
DALYs (Disability-Adjusted Life Years),Global,Female,1-4 years,Chronic obstructive pulmonary disease,Number,1994,173360.10476370432,301306.7889633217,65843.15348648308
DALYs (Disability-Adjusted Life Years),Global,Male,5-9 years,Chronic obstructive pulmonary disease,Number,1994,84665.49489959385,99728.17043864547,72204.85496890133
DALYs (Disability-Adjusted Life Years),Global,Female,5-9 years,Chronic obstructive pulmonary disease,Number,1994,85642.62535305759,104364.94435128027,64567.894779354196
DALYs (Disability-Adjusted Life Years),Global,Male,10-14 years,Chronic obstructive pulmonary disease,Number,1994,93015.2074289267,106728.62146655767,78911.66251912202
DALYs (Disability-Adjusted Life Years),Global,Female,10-14 years,Chronic obstructive pulmonary disease,Number,1994,97427.17828772153,112700.72820329535,80840.63627998557
DALYs (Disability-Adjusted Life Years),Global,Male,15-19 years,Chronic obstructive pulmonary disease,Number,1994,192753.7154669488,219621.8874439791,168872.2715169934
DALYs (Disability-Adjusted Life Years),Global,Female,15-19 years,Chronic obstructive pulmonary disease,Number,1994,180594.16308057954,210513.18458072387,144544.0747822907
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Chronic obstructive pulmonary disease,Number,1994,274046.6559707642,306034.5887932225,239145.716854403
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Chronic obstructive pulmonary disease,Number,1994,267143.49738300196,308944.9584154908,215070.86626365356
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Chronic obstructive pulmonary disease,Number,1994,339579.1036711816,379633.07939444453,298998.528534411
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Chronic obstructive pulmonary disease,Number,1994,349370.54299516825,401929.09452651464,282221.8200594757
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Chronic obstructive pulmonary disease,Number,1994,427907.28901919187,479334.0657493644,377897.81779400905
