measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Global,Male,28-364 days,Chronic obstructive pulmonary disease,Number,2019,0.0,0.0,0.0
YLLs (Years of Life Lost),Global,Female,28-364 days,Chronic obstructive pulmonary disease,Number,2019,0.0,0.0,0.0
YLLs (Years of Life Lost),Global,Male,1-4 years,Chronic obstructive pulmonary disease,Number,2019,34418.252124084,53413.466782543,23205.22964258015
YLLs (Years of Life Lost),Global,Female,1-4 years,Chronic obstructive pulmonary disease,Number,2019,62163.82018542558,118622.85119341197,32127.659469570128
YLLs (Years of Life Lost),Global,Male,5-9 years,Chronic obstructive pulmonary disease,Number,2019,14565.2525707493,19417.254454071437,11579.719275988617
YLLs (Years of Life Lost),Global,Female,5-9 years,Chronic obstructive pulmonary disease,Number,2019,13459.849219193598,18719.182933159816,8338.85437902072
YLLs (Years of Life Lost),Global,Male,10-14 years,Chronic obstructive pulmonary disease,Number,2019,12722.94022466023,16497.716102200236,10397.571150498643
YLLs (Years of Life Lost),Global,Female,10-14 years,Chronic obstructive pulmonary disease,Number,2019,10922.988220163239,14604.25799708114,7528.063308074911
YLLs (Years of Life Lost),Global,Male,15-19 years,Chronic obstructive pulmonary disease,Number,2019,71796.63813764708,91763.08905850073,58986.66243736865
YLLs (Years of Life Lost),Global,Female,15-19 years,Chronic obstructive pulmonary disease,Number,2019,51678.651595156116,66327.64570327834,36471.353368643366
YLLs (Years of Life Lost),Global,Male,20-24 years,Chronic obstructive pulmonary disease,Number,2019,91547.65287377867,111987.63014661885,76248.17349260433
YLLs (Years of Life Lost),Global,Female,20-24 years,Chronic obstructive pulmonary disease,Number,2019,64648.86149329447,83415.27691148916,45999.09519756734
YLLs (Years of Life Lost),Global,Male,25-29 years,Chronic obstructive pulmonary disease,Number,2019,116501.65976332207,139421.896963866,99238.73946644823
YLLs (Years of Life Lost),Global,Female,25-29 years,Chronic obstructive pulmonary disease,Number,2019,76036.67246744118,96373.87457967419,56678.091526097385
YLLs (Years of Life Lost),Global,Male,30-34 years,Chronic obstructive pulmonary disease,Number,2019,184045.64478728786,218649.80333291867,159773.76456781314
YLLs (Years of Life Lost),Global,Female,30-34 years,Chronic obstructive pulmonary disease,Number,2019,109985.22373115412,139894.86791343932,84321.02244864122
YLLs (Years of Life Lost),Global,Male,35-39 years,Chronic obstructive pulmonary disease,Number,2019,262360.38797276095,308434.8384615161,227188.07878530744
YLLs (Years of Life Lost),Global,Female,35-39 years,Chronic obstructive pulmonary disease,Number,2019,154660.3008811039,200687.37619522904,119044.65943805079
YLLs (Years of Life Lost),Global,Male,40-44 years,Chronic obstructive pulmonary disease,Number,2019,449143.31984133314,516107.23882210697,389230.55727500154
